Nazwa stacji,sz,dl
WIEŚ,67.2,49.0
UJSKA,54.2,43.0
CYDZYN,60.8,26.8
DWÓR,72.4,25.0
LUBLINIEC,59.6,26.6
SĄCZ,71.2,44.6
OBIDOWA,68.8,53.8
OLECKO,55.8,39.4
OLEWIN,59.6,40.6
OLKUSZ,60.2,39.4
OLSZTYN,80.6,35.0
OŁAWA,84.2,28.4
OPIESIN-GŁOGOWA,58.0,21.4
OPOLE,72.2,51.8
LUBELSKIE,55.8,54.6
OSTROŁĘKA,54.8,40.2
OTMUCHÓW,66.8,23.0
OŻAŃSK,51.2,43.0
PAPROĆ,62.8,22.6
PAPROTKI,76.4,49.2
PIWNICZNA,64.6,45.2
PIWNICZNA,64.0,45.8
PLATERÓW,62.8,52.0
PŁOCK,73.0,44.8
DOLNE,54.6,34.8
POKÓJ,82.4,47.6
CHOCHOŁOWSKA,57.4,47.2
DOLNE,69.0,17.8
POŁCZYN-ZDRÓJ,80.6,19.0
PORONIN,61.0,21.2
PORONIN,60.4,21.2
POŚWIĘTNE,74.8,33.8
POZNAŃ-ŁAWICA,67.0,46.0
PRABUTY,79.4,26.8
PRUDNIK,61.4,37.4
PRZASNYSZ,54.2,52.4
PRZEDWOJEWO,85.0,44.0
PRZELEWICE,56.6,18.0
PRZEMYŚL,77.8,49.6
PSZCZYNA,50.0,51.0
PSZENNO,80.6,35.8
PTASZKOWA,70.6,51.8
PUCZNIEW,79.2,22.0
PUŁAWY,66.0,55.8
PUŁTUSK,54.4,21.0
RABKA,71.2,53.8
RACIBÓRZ,51.8,24.6
RADOSTOWO,88.4,45.0
RADZIECHOWY,71.8,24.4
RADZYŃ,82.2,17.2
PODLASKI,78.6,43.6
REDŁO,81.2,49.2
RESKO-SMÓLSKO,80.6,29.4
ROZEWIE,84.0,30.0
ROŻNÓW,76.6,44.6
RÓŻANYSTOK,75.8,37.4
RYBNIK,53.6,37.8
RZESZÓW-JASIONKA,53.6,23.2
SANDOMIERZ,74.6,46.2
SANOK-TREPCZA,70.0,28.6
SIEDLCE,58.0,30.4
SIELEC,61.4,35.0
SIENIAWA,68.2,52.0
SIERADZ,72.6,43.2
SILNICZKA,83.0,46.6
SINOŁĘKA,59.8,54.0
SKIERNIEWICE,85.8,26.0
SKRONIÓW,72.8,29.6
SŁOSZÓW,64.4,29.2
SŁUBICE,64.0,36.2
SŁUPCA,62.2,48.2
WIELKA,59.8,24.8
SŁUPSK,70.8,17.0
SŁUPSK,71.4,20.6
SMOLICE,76.2,23.6
SOBIESZYN,73.2,27.4
SOLINA-JAWOR,63.4,38.8
OLESNO,53.0,19.2
BRZEŚĆ,74.2,51.6
STASZÓW,71.6,27.6
STRZYŻÓW,80.6,25.2
STUPOSIANY,55.6,46.6
SUKOWICE,59.6,24.0
SULEJÓW,63.6,49.6
SULĘCIN,68.2,18.6
SUPRAŚL,60.2,34.4
SUWAŁKI,58.2,55.6
SZAMOTUŁY-BABORÓWKO,73.0,38.8
SZCZAWNO-ZDRÓJ,78.8,24.4
SZCZECIN,66.8,36.2
SZCZECINEK,78.2,42.4
SZCZEKOCINY,72.8,47.8
SZCZUCZYN,73.4,32.2
SZCZYTNO,74.0,21.6
SZEPIETOWO,82.6,41.8
PORĘBA,80.0,34.2
SZPROTAWA,71.4,34.2
ŚLIWICE,78.2,24.6
ŚNIEŻKA,76.4,41.4
ŚWIDER,56.2,30.0
ŚWIDNICA,80.6,32.8
WROCŁAW-STRACHOWICE,54.6,48.4
WYCZECHY,77.6,18.2
WYSOKIE,83.0,46.0
WYSOWA,64.6,27.6
ZADĄBROWIE,81.4,51.4
ZAKOPANE,59.2,53.2
ZAMOŚĆ,74.6,30.2
ZAWADA,52.4,38.4
ZAWODZIE,66.8,35.4
ZAWOJA,71.2,37.6
ZĄBKOWICE,63.2,29.2
ZBYSZYCE,74.2,44.0
ZGORZELEC,55.8,16.2
ZGORZELEC,55.8,15.6
GÓRA,84.0,33.6
ZYBISZÓW,53.4,49.0
ŻARNOWA,80.8,50.4
ŻUBRACZE,56.2,31.6
ŻYWIEC,74.8,27.4
